origin,dest,origin_city,dest_city,distance_km,distance_mi,mach_regime_class,mach_regime_note,annual_passengers_ref_year,traffic_source_note
MIA,YVR,Miami,Vancouver,4503,2798,trunk,Very strong benefit; Mach 2.5-3 trunk candidate,,
SEA,MIA,Seattle,Miami,4380,2721,trunk,Very strong benefit; Mach 2.5-3 trunk candidate,,
MCO,YVR,Orlando,Vancouver,4223,2624,trunk,Very strong benefit; Mach 2.5-3 trunk candidate,,
SFO,MIA,San Francisco,Miami,4154,2581,trunk,Very strong benefit; Mach 2.5-3 trunk candidate,,
SFO,JFK,San Francisco,New York JFK,4152,2580,trunk,Very strong benefit; Mach 2.5-3 trunk candidate,,
SEA,MCO,Seattle,Orlando,4105,2551,trunk,Very strong benefit; Mach 2.5-3 trunk candidate,,
LAX,JFK,Los Angeles,New York JFK,3974,2470,trunk,Very strong benefit; Mach 2.5-3 trunk candidate,,
YVR,MEX,Vancouver,Mexico City,3945,2451,trunk,Very strong benefit; Mach 2.5-3 trunk candidate,,
JFK,YVR,New York JFK,Vancouver,3930,2442,trunk,Very strong benefit; Mach 2.5-3 trunk candidate,,
SFO,MCO,San Francisco,Orlando,3930,2442,trunk,Very strong benefit; Mach 2.5-3 trunk candidate,,
SEA,JFK,Seattle,New York JFK,3887,2415,trunk,Very strong benefit; Mach 2.5-3 trunk candidate,,
LAX,MIA,Los Angeles,Miami,3763,2338,trunk,Very strong benefit; Mach 2.5-3 trunk candidate,,
SEA,MEX,Seattle,Mexico City,3757,2335,trunk,Very strong benefit; Mach 2.5-3 trunk candidate,,
SFO,YYZ,San Francisco,Toronto Pearson,3628,2254,trunk,Very strong benefit; Mach 2.5-3 trunk candidate,,
ATL,YVR,Atlanta,Vancouver,3611,2244,trunk,Very strong benefit; Mach 2.5-3 trunk candidate,,
LAS,JFK,Las Vegas,New York JFK,3609,2243,trunk,Very strong benefit; Mach 2.5-3 trunk candidate,,
LAX,MCO,Los Angeles,Orlando,3562,2214,trunk,Very strong benefit; Mach 2.5-3 trunk candidate,,
SEA,ATL,Seattle,Atlanta,3505,2178,trunk,Very strong benefit; Mach 2.5-3 trunk candidate,,
LAS,MIA,Las Vegas,Miami,3495,2171,trunk,Very strong benefit; Mach 2.5-3 trunk candidate,,
LAX,YYZ,Los Angeles,Toronto Pearson,3495,2171,trunk,Very strong benefit; Mach 2.5-3 trunk candidate,,
SFO,ATL,San Francisco,Atlanta,3435,2134,trunk,Very strong benefit; Mach 2.5-3 trunk candidate,,
JFK,MEX,New York JFK,Mexico City,3365,2091,trunk,Very strong benefit; Mach 2.5-3 trunk candidate,,
YYZ,YVR,Toronto Pearson,Vancouver,3346,2079,trunk,Very strong benefit; Mach 2.5-3 trunk candidate,,
SEA,YYZ,Seattle,Toronto Pearson,3307,2055,trunk,Very strong benefit; Mach 2.5-3 trunk candidate,,
LAS,MCO,Las Vegas,Orlando,3276,2036,trunk,Very strong benefit; Mach 2.5-3 trunk candidate,,
YYZ,MEX,Toronto Pearson,Mexico City,3247,2018,trunk,Very strong benefit; Mach 2.5-3 trunk candidate,,
IAH,YVR,Houston Intercontinental,Vancouver,3169,1969,trunk,Very strong benefit; Mach 2.5-3 trunk candidate,,
LAX,ATL,Los Angeles,Atlanta,3126,1942,trunk,Very strong benefit; Mach 2.5-3 trunk candidate,,
LAS,YYZ,Las Vegas,Toronto Pearson,3121,1939,trunk,Very strong benefit; Mach 2.5-3 trunk candidate,,
SFO,MEX,San Francisco,Mexico City,3029,1882,trunk,Very strong benefit; Mach 2.5-3 trunk candidate,,
SEA,IAH,Seattle,Houston Intercontinental,3013,1872,trunk,Very strong benefit; Mach 2.5-3 trunk candidate,,
SFO,ORD,San Francisco,Chicago O'Hare,2964,1842,corridor,Strong benefit; Mach 1.5-2.5 corridor candidate,,
ORD,YVR,Chicago O'Hare,Vancouver,2831,1759,corridor,Strong benefit; Mach 1.5-2.5 corridor candidate,,
DFW,YVR,Dallas/Fort Worth,Vancouver,2819,1752,corridor,Strong benefit; Mach 1.5-2.5 corridor candidate,,
LAS,ATL,Las Vegas,Atlanta,2805,1743,corridor,Strong benefit; Mach 1.5-2.5 corridor candidate,,
LAX,ORD,Los Angeles,Chicago O'Hare,2802,1741,corridor,Strong benefit; Mach 1.5-2.5 corridor candidate,,
SEA,ORD,Seattle,Chicago O'Hare,2762,1716,corridor,Strong benefit; Mach 1.5-2.5 corridor candidate,,
DEN,MIA,Denver,Miami,2749,1708,corridor,Strong benefit; Mach 1.5-2.5 corridor candidate,,
ORD,MEX,Chicago O'Hare,Mexico City,2718,1689,corridor,Strong benefit; Mach 1.5-2.5 corridor candidate,,
SEA,DFW,Seattle,Dallas/Fort Worth,2668,1658,corridor,Strong benefit; Mach 1.5-2.5 corridor candidate,,
SFO,IAH,San Francisco,Houston Intercontinental,2628,1633,corridor,Strong benefit; Mach 1.5-2.5 corridor candidate,,
DEN,JFK,Denver,New York JFK,2610,1622,corridor,Strong benefit; Mach 1.5-2.5 corridor candidate,,
LAX,MEX,Los Angeles,Mexico City,2500,1553,corridor,Strong benefit; Mach 1.5-2.5 corridor candidate,,
DEN,MCO,Denver,Orlando,2486,1545,corridor,Strong benefit; Mach 1.5-2.5 corridor candidate,,
LAS,ORD,Las Vegas,Chicago O'Hare,2431,1511,corridor,Strong benefit; Mach 1.5-2.5 corridor candidate,,
LAS,MEX,Las Vegas,Mexico City,2428,1509,corridor,Strong benefit; Mach 1.5-2.5 corridor candidate,,
SFO,DFW,San Francisco,Dallas/Fort Worth,2352,1461,corridor,Strong benefit; Mach 1.5-2.5 corridor candidate,,
DEN,MEX,Denver,Mexico City,2333,1450,corridor,Strong benefit; Mach 1.5-2.5 corridor candidate,,
IAH,JFK,Houston Intercontinental,New York JFK,2277,1415,corridor,Strong benefit; Mach 1.5-2.5 corridor candidate,,
DFW,JFK,Dallas/Fort Worth,New York JFK,2235,1389,corridor,Strong benefit; Mach 1.5-2.5 corridor candidate,,
LAX,IAH,Los Angeles,Houston Intercontinental,2215,1377,corridor,Strong benefit; Mach 1.5-2.5 corridor candidate,,
ATL,MEX,Atlanta,Mexico City,2144,1332,corridor,Strong benefit; Mach 1.5-2.5 corridor candidate,,
DEN,YYZ,Denver,Toronto Pearson,2112,1312,corridor,Strong benefit; Mach 1.5-2.5 corridor candidate,,
IAH,YYZ,Houston Intercontinental,Toronto Pearson,2060,1280,corridor,Strong benefit; Mach 1.5-2.5 corridor candidate,,
MCO,MEX,Orlando,Mexico City,2060,1280,corridor,Strong benefit; Mach 1.5-2.5 corridor candidate,,
MIA,MEX,Miami,Mexico City,2051,1275,corridor,Strong benefit; Mach 1.5-2.5 corridor candidate,,
MIA,YYZ,Miami,Toronto Pearson,1989,1236,corridor,Strong benefit; Mach 1.5-2.5 corridor candidate,,
LAX,DFW,Los Angeles,Dallas/Fort Worth,1983,1232,corridor,Strong benefit; Mach 1.5-2.5 corridor candidate,,
LAS,IAH,Las Vegas,Houston Intercontinental,1963,1220,corridor,Strong benefit; Mach 1.5-2.5 corridor candidate,,
ORD,MIA,Chicago O'Hare,Miami,1930,1199,corridor,Strong benefit; Mach 1.5-2.5 corridor candidate,,
DFW,YYZ,Dallas/Fort Worth,Toronto Pearson,1929,1198,corridor,Strong benefit; Mach 1.5-2.5 corridor candidate,,
DEN,ATL,Denver,Atlanta,1926,1197,corridor,Strong benefit; Mach 1.5-2.5 corridor candidate,,
DFW,MIA,Dallas/Fort Worth,Miami,1803,1120,corridor,Strong benefit; Mach 1.5-2.5 corridor candidate,,
DEN,YVR,Denver,Vancouver,1790,1112,corridor,Strong benefit; Mach 1.5-2.5 corridor candidate,,
MIA,JFK,Miami,New York JFK,1757,1092,corridor,Strong benefit; Mach 1.5-2.5 corridor candidate,,
LAX,YVR,Los Angeles,Vancouver,1741,1082,corridor,Strong benefit; Mach 1.5-2.5 corridor candidate,,
MCO,YYZ,Orlando,Toronto Pearson,1702,1058,corridor,Strong benefit; Mach 1.5-2.5 corridor candidate,,
LAS,DFW,Las Vegas,Dallas/Fort Worth,1695,1053,corridor,Strong benefit; Mach 1.5-2.5 corridor candidate,,
SEA,DEN,Seattle,Denver,1645,1022,corridor,Strong benefit; Mach 1.5-2.5 corridor candidate,,
ORD,MCO,Chicago O'Hare,Orlando,1620,1006,corridor,Strong benefit; Mach 1.5-2.5 corridor candidate,,
LAS,YVR,Las Vegas,Vancouver,1597,992,corridor,Strong benefit; Mach 1.5-2.5 corridor candidate,,
DFW,MCO,Dallas/Fort Worth,Orlando,1583,983,corridor,Strong benefit; Mach 1.5-2.5 corridor candidate,,
SFO,DEN,San Francisco,Denver,1553,965,corridor,Strong benefit; Mach 1.5-2.5 corridor candidate,,
IAH,MIA,Houston Intercontinental,Miami,1549,963,corridor,Strong benefit; Mach 1.5-2.5 corridor candidate,,
LAX,SEA,Los Angeles,Seattle,1537,955,corridor,Strong benefit; Mach 1.5-2.5 corridor candidate,,
MCO,JFK,Orlando,New York JFK,1521,945,corridor,Strong benefit; Mach 1.5-2.5 corridor candidate,,
DFW,MEX,Dallas/Fort Worth,Mexico City,1511,939,corridor,Strong benefit; Mach 1.5-2.5 corridor candidate,,
IAH,ORD,Houston Intercontinental,Chicago O'Hare,1489,925,connector,Borderline benefit; Mach 1.2-1.8 regional connector,,
DEN,ORD,Denver,Chicago O'Hare,1426,886,connector,Borderline benefit; Mach 1.2-1.8 regional connector,,
LAS,SEA,Las Vegas,Seattle,1395,867,connector,Borderline benefit; Mach 1.2-1.8 regional connector,,
DEN,IAH,Denver,Houston Intercontinental,1387,862,connector,Borderline benefit; Mach 1.2-1.8 regional connector,,
LAX,DEN,Los Angeles,Denver,1385,861,connector,Borderline benefit; Mach 1.2-1.8 regional connector,,
IAH,MCO,Houston Intercontinental,Orlando,1372,852,connector,Borderline benefit; Mach 1.2-1.8 regional connector,,
DFW,ORD,Dallas/Fort Worth,Chicago O'Hare,1290,802,connector,Borderline benefit; Mach 1.2-1.8 regional connector,,
SFO,YVR,San Francisco,Vancouver,1289,801,connector,Borderline benefit; Mach 1.2-1.8 regional connector,,
IAH,MEX,Houston Intercontinental,Mexico City,1232,766,connector,Borderline benefit; Mach 1.2-1.8 regional connector,,
ATL,JFK,Atlanta,New York JFK,1222,759,connector,Borderline benefit; Mach 1.2-1.8 regional connector,,
ATL,YYZ,Atlanta,Toronto Pearson,1191,740,connector,Borderline benefit; Mach 1.2-1.8 regional connector,,
ORD,JFK,Chicago O'Hare,New York JFK,1188,738,connector,Borderline benefit; Mach 1.2-1.8 regional connector,,
DFW,ATL,Dallas/Fort Worth,Atlanta,1175,730,connector,Borderline benefit; Mach 1.2-1.8 regional connector,,
IAH,ATL,Houston Intercontinental,Atlanta,1107,688,connector,Borderline benefit; Mach 1.2-1.8 regional connector,,
SFO,SEA,San Francisco,Seattle,1093,679,connector,Borderline benefit; Mach 1.2-1.8 regional connector,,
DEN,DFW,Denver,Dallas/Fort Worth,1031,641,connector,Borderline benefit; Mach 1.2-1.8 regional connector,,
LAS,DEN,Las Vegas,Denver,1009,627,connector,Borderline benefit; Mach 1.2-1.8 regional connector,,
ORD,ATL,Chicago O'Hare,Atlanta,976,606,connector,Borderline benefit; Mach 1.2-1.8 regional connector,,
ATL,MIA,Atlanta,Miami,959,596,connector,Borderline benefit; Mach 1.2-1.8 regional connector,,
ORD,YYZ,Chicago O'Hare,Toronto Pearson,701,436,connector,Borderline benefit; Mach 1.2-1.8 regional connector,,
SFO,LAS,San Francisco,Las Vegas,665,413,local,Below threshold for dedicated Mach corridor,,
ATL,MCO,Atlanta,Orlando,651,404,local,Below threshold for dedicated Mach corridor,,
JFK,YYZ,New York JFK,Toronto Pearson,588,365,local,Below threshold for dedicated Mach corridor,,
LAX,SFO,Los Angeles,San Francisco,544,338,local,Below threshold for dedicated Mach corridor,,
LAX,LAS,Los Angeles,Las Vegas,380,236,local,Below threshold for dedicated Mach corridor,,
DFW,IAH,Dallas/Fort Worth,Houston Intercontinental,362,225,local,Below threshold for dedicated Mach corridor,,
MCO,MIA,Orlando,Miami,310,193,local,Below threshold for dedicated Mach corridor,,
SEA,YVR,Seattle,Vancouver,205,127,local,Below threshold for dedicated Mach corridor,,
